                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45851,                 1.7105,                 1.2273,                0.12394,                0.79498,                0.17331,                0.08154,                 1.6431,                 2.8731,                 2.0397,             0.00036867,             0.00036867,             0.00036867
                      2,                0.45208,                 1.5108,                 1.2189,                0.22619,                 0.8166,                0.31174,                0.21674,                0.76254,                 1.5439,                  1.279,             0.00072437,             0.00072437,             0.00072437
                      3,                0.40478,                 1.4566,                 1.1788,                0.22215,                0.85787,                0.26785,                0.18057,                0.83261,                 1.5791,                 1.3786,              0.0010654,              0.0010654,              0.0010654
                      4,                0.37563,                 1.4234,                   1.15,                0.26573,                0.87752,                0.33459,                0.28154,                0.60761,                 1.4428,                 1.1712,               0.001045,               0.001045,               0.001045
                      5,                 0.3538,                  1.392,                 1.1399,                0.30903,                0.84408,                0.35704,                0.29886,                0.53551,                 1.4889,                 1.0688,               0.001045,               0.001045,               0.001045
                      6,                0.33795,                 1.3697,                 1.1282,                0.28469,                0.83924,                0.42909,                0.36941,                0.52936,                  1.284,                 1.0602,               0.001023,               0.001023,               0.001023
                      7,                0.32969,                 1.3406,                 1.1269,                0.33861,                0.73533,                0.42453,                0.35065,                0.50199,                 1.2759,                 1.0174,               0.001001,               0.001001,               0.001001
                      8,                0.32679,                 1.3205,                 1.1193,                0.37426,                0.78828,                0.51065,                0.44544,                0.46468,                 1.1841,                0.96757,             0.00097901,             0.00097901,             0.00097901
                      9,                0.30984,                 1.3023,                  1.103,                 0.3914,                0.69688,                0.52185,                0.45841,                0.49737,                 1.1948,                 1.0204,             0.00095702,             0.00095702,             0.00095702
                     10,                0.30587,                  1.293,                 1.1028,                0.38946,                0.72376,                 0.5178,                0.44508,                0.50494,                 1.3138,                0.98155,             0.00093502,             0.00093502,             0.00093502
                     11,                0.30729,                  1.272,                 1.1028,                0.44807,                 0.6908,                0.56413,                0.48249,                0.52458,                 1.1427,                 1.0118,             0.00091302,             0.00091302,             0.00091302
                     12,                0.28912,                 1.2639,                 1.0939,                0.43738,                0.66572,                0.56422,                0.48749,                 0.5318,                 1.1657,                 1.0325,             0.00089102,             0.00089102,             0.00089102
                     13,                0.28642,                 1.2462,                 1.0833,                0.44819,                 0.6888,                0.55597,                0.47568,                0.53191,                 1.1052,                 1.0038,             0.00086902,             0.00086902,             0.00086902
